"cancel","cancelled","pf"," She cancelled two more appointments with me, fortunately with somewhat more notice."
"prepare","prepare","pf"," Meanwhile, why don ’ t you relax and prepare yourself for the meeting? ”"
"recline","reclining","pf"," Mr Charlton, who had been in a mix-up all afternoon, abruptly fumbled to his feet, expressing agreement by taking the cigar and laying it beside the Brigadier ’ s head, reclining now in flushed oblivion on the table."
"govern","govern","impf"," From there it was just a step to general observations about how difficult it was to govern nations and rule people, how thankless was the task of rulers and commanders, how things in this world usually went wrong, against the laws of impotent morality and the desires of honourable men."
"supplant","supplanted","pf"," In many of the more relaxed civilizations on the Outer Eastern Rim of the Galaxy, the Hitch Hiker 's Guide has already supplanted the great Encyclopedia Galactica as the standard repository of all knowledge and wisdom, for though it has many omissions and contains much that is apocryphal, or at least wildly inaccurate, it scores over the older, more pedestrian work in two important respects."
"tinkle","tinkled","pf"," Piggy 's glasses flew off and tinkled on the rocks."
"analyse","analysed","impf"," According to Wittgenstein, the "" rule-governed "" concept has been incorrectly analysed by most philosophers."
"resemble","resembled","impf"," It resembled nothing so much as a paper dart about twenty feet long made of thin but tough metal foil."
"discourage","discouraged","pf"," She had discouraged him at every turn, but her rejection had n't deterred him."
"oversee","overseen","impf"," The girls were working on their lace, overseen by Maertge and Maria Thins."
"pretend","pretended","impf"," A limousine careered down the street, dodging between the piles of burning garbage, and frightening an old pack animal which lurched, screeching, out of its way, stumbled against the window of a herbal remedies shop, set off a wailing alarm, blundered off down the street, and then pretended to fall down the steps of a small pasta restaurant where it knew it would get photographed and fed."
"wreck","wrecking","pf"," I 've done a fine job of wrecking my life. """
"proffer","proffer","pf"," I would, I suppose, proffer Automatic Defence A : that since people imagine themselves with free will, built character and largely consistent beliefs, then this is how the novelist should portray them."
"pick","picked","pf"," He picked up the letter Q and hurled it into a distant privet bush where it hit a young rabbit."
"afflict","afflicted","pf"," His whole mind and body seemed to be afflicted with an unbearable sensitivity, a sort of transparency, which made every movement, every sound, every contact, every word that he had to speak or listen to, an agony."
"constrict","constricted","pf"," My throat was constricted by pity."
"reproach","reproach","impf"," She must have taken some of the pills before we were due to arrive-not enough to kill her of course-and waited for us to rush in and wring our hands and see to her and reproach ourselves."
"fluctuate","fluctuates","impf"," Naturally the signal function of these symbols fluctuates even within the same species according to the situation, but the gradual phylogenetic change of meaning of the symbol has undoubtedly progressed in the direction indicated."
"kidnap","kidnapped","pf"," “ What if I told you four cardinals have been kidnapped and are going to be murdered at different churches tonight. ”"
"reposition","reposition","pf"," I did not creep into the studio and change things - reposition the chair I sat in or open the shutters wider."
"warrant","warrant","pf"," The test would be easy enough to control and observe, but as I set it up I found my anticipation running higher than a little experiment like this would normally warrant."
"calculate","calculate","pf"," “ And the Earth is the computer Deep Thought designed and built to calculate the Question to the Ultimate Answer. ”"
"authorize","authorize","pf"," In the Classical age, to make use of signs is not, as it was in preceding centuries, to attempt to rediscover beneath them the primitive text of a discourse sustained, and retained, forever; it is an attempt to discover the arbitrary language that will authorize the deployment of nature within its space, the final terms of its analysis and the laws of its composition."
"conceal","conceal","impf"," He knew now what he 'd been trying to conceal from himself ever since the previous morning, what the row with Bertrand had made him temporarily disbelieve : he and Christine would not, after all, be able to eat tea together the following afternoon."
"groom","grooming","impf"," In most cases, the still angry aggressor reacts with the behavior of social grooming, preening and cleaning the back of the submissive bird 's head, in quite a friendly manner - a really moving form of making peace!"
"sniff","sniffing","impf"," Something smells like earthworms! the moleman thought, sniffing closer and closer to Ruthie. '"
"possess","possessed","impf"," But within themselves they were all greatly anxious and each of them, beneath all the jokes and laughter at misfortune, as if under a mask, turned over and over in his mind anxious thoughts and listened continually to the roar of the waters and the wind from the town below, where he had left all that he possessed."
"coincide","coincide","impf"," They had timed her departure to coincide with Oren 's press conference so the media would be occupied and she could make a clean getaway."
"require","require","impf"," The reason why it was published in the form of a micro sub meson electronic component is that if it were printed in normal book form, an interstellar hitch hiker would require several inconveniently large buildings to carry it around in."
"scratch","scratch","impf"," The chickens scratch in the dust and hay."
"devise","devised","pf"," We have devised a new brain operation which takes away the fear of death."
"click","clicked","pf"," Saturnin stood to attention and sonorously clicked his heels."
"clutch","clutching","impf"," I did n't want to feel the fear clutching at my stomach."
"temper","tempered","pf"," A long pause, tempered only by his smile."
"evacuate","evacuated","pf"," It was supposed to be evacuated at a certain hour for the Wehrmacht, but he had dawdled so long in his cubicle that he was too late."
"wink","wink","pf"," For however much the officials told them and explained to them, they could not get it into their heads that the ' machine ' was not some sort of swift, mysterious and deceitful contraption invented by the Schwabes which slipped away from anyone inattentive enough to wink an eye and which had only one idea in its mind : how to cheat the peasant and leave without him."
"eavesdrop","eavesdropped","impf"," I often eavesdropped on their fabled phlegmaticism :"
"rejoice","rejoice","impf"," The Lieutenant-Colonel was more distant and alien than ever, he behaved as though he knew nothing about either the war or their alliance and left Daville to think about it alone, to rejoice in the successes and shudder at the failures."
"dawn","dawned","impf"," Another Disc day dawned, but very gradually, and this is why."
"wing","winged","impf"," For he was a Nazgûl, one of the Nine, who ride now upon winged steeds."
"placate","placated","pf"," “ That ’ s all right, ” the doctor placated sharply and authoritatively."
"tickle","tickled","pf"," As soon as he entered he realized that it was a ghastly error, since not one of the young women enjoyed being tickled by the wet, scraggly hairs when he came within kissing distance."
"object","object","impf"," I take it that nobody here will object. '"
"wind","winding","impf"," His son changed the records and the needles and was continually winding this raucous contraption which echoed from both banks and made the kapia quiver."
"interject","interject","pf"," With an imperceptible raise of one eyebrow he seized the opportunity of a pause in the dialogue to interject :"
"harbour","harboured","impf"," Elizabeth was shocked to think that, however incapable of such coarseness of expression herself, the coarseness of the sentiment was little other than her own breast had formerly harboured and fancied liberal!"
"hang","hung","impf"," In the empty wastes of space, the Heart of Gold hung still."
"throb","throbbed","impf"," The blood was flowing in his cheeks and the bunged-up eye throbbed."
"achieve","achieved","pf"," The princes, who are of course brave, noble and wise, travel widely in distant lands, fight giant ogres, pursue exotic philosophies, take tea with weird gods and rescue beautiful monsters from ravening princesses before finally announcing that they have achieved enlightenment and that their wanderings are therefore accomplished."
"overdo","overdo","pf"," You can ’ t overdo it. ”"
"roll","rolled","impf"," All around the world city streets exploded with people, cars slewed into each other as the noise fell on them and then rolled off like a tidal wave over hills and valleys, deserts and oceans, seeming to flatten everything it hit."
"blur","blurred","pf"," Their tense outlines were slightly blurred when they were spoken of in this way, their personalities slightly glossed over."
"suffice","suffice","pf"," Just the T-shirt, her shorts, and her shoes would suffice."
"concede","concede","pf"," "" I 'm not ready to concede that. """
"turn","turned","pf"," She turned and spoke."
"elect","elected","pf"," “ I call as my witness, ” the cardinal declared, exactly as those before him, “ Christ the Lord, who will be my judge that my vote is given to the one who before God I think should be elected. ”"
"result","resulted","pf"," Just as he had assumed blame when Albert Dome 's standoff with Houston police resulted in tragedy."
"wreak","wreaking","pf"," A severe earthquake, wreaking untold disaster throughout the peninsula, had plucked the treasure from the hands of the concessionaires."
"evaporate","evaporated","pf"," The apathy had evaporated."
"commission","commissioned","pf"," They could n't use ambigrams or scientific symbology because it would be far too conspicuous, so they called on an Illuminati artist - the same anonymous prodigy who had created their ambigrammatic symbol ‘ Illuminati ’ - and they commissioned him to carve four sculptures. ”"
"quiet","quieted","pf"," She quieted when I offered her another cigarette."
"flip","flipped","pf"," Langdon flipped over the last folio and sighed."
"disband","disband","pf"," We shall disband all societies which have served us in the past and serve us still, and scatter their members among the continents farthest from Europeâ € ¦"
"connect","connected","impf"," It connected to a small pile of components and instruments via a single thick wire."
"hand","handed","pf"," He jiggled them about, pulled out four and handed them to Ford."
"resume","resumed","impf"," He rasped his way through a coughing fit and resumed."
"rebuild","rebuilt","pf"," “ Yes, ” Langdon interjected, “ and rebuilt by Hadrian in 119 A.D. ”"
"barricade","barricaded","pf"," The driveway and gate were barricaded with two patrol cars to prevent this very situation."
"address","addressed","pf"," Bertrand, who 'd settled himself next to Gore-Urquhart, began talking to him in a low voice, and almost at once Christine addressed some remark to Carol."
"twiddle","twiddling","impf"," But my basic attitude is that MILLENNIUM cannot actually afford to have one of its key people sitting up here on Hedeby Island twiddling his thumbs."
"ramble","rambled","impf"," He rambled for two hours."
