"calls","call","nazývá","nazývat","impf"," But what Bettina calls wahre Liebe ( true love ), is not love-relation but love-emotion : a fire lit by a divine hand in a human soul, a torch in whose light the lover ' looks for the beloved in every metamorphosis '."," To, co však Bettina nazývá wahre Liebe ( pravá láska ), není láska - vztah, ale láska - cit; oheň, který zažíhá nebeská ruka v duši člověka, pochodeň, v jejímž světle milující "" hledá milovaného pod každým převtělením ""."
"changes","change","mění","měnit","impf"," Such a love ( love-emotion ) knows nothing of infidelity, for even when the object changes the love itself remains perpetually the same flame lit by the same divine hand."," Taková láska ( láska - cit ) neví, co je nevěra, protože i když se předmět lásky mění, láska sama zůstává stále tím stejným plamenem zažehnutým stejnou nebeskou rukou."
"remains","remain","zůstává","zůstávat","impf"," Such a love ( love-emotion ) knows nothing of infidelity, for even when the object changes the love itself remains perpetually the same flame lit by the same divine hand."," Taková láska ( láska - cit ) neví, co je nevěra, protože i když se předmět lásky mění, láska sama zůstává stále tím stejným plamenem zažehnutým stejnou nebeskou rukou."
"plays","play","zahraje","zahrát","pf"," After all, you are familiar with this situation : the violinist standing on the platform doses his eyes and plays the first two long notes."," Znáte to přece : houslista na pódiu zavře oči a zahraje první dva dlouhé tóny."
"feels","feel","pocítí","pocítit","pf"," At that moment the listener also doses his eyes, feels his soul expanding in his breast, and says to himself :"," V té chvíli posluchač zavře oči též, pocítí, jak se mu duše šíří v hrudi, a řekne si :"
"expanding","expand","šíří","šířit","impf"," At that moment the listener also doses his eyes, feels his soul expanding in his breast, and says to himself :"," V té chvíli posluchač zavře oči též, pocítí, jak se mu duše šíří v hrudi, a řekne si :"
"says","say","řekne","říci","pf"," At that moment the listener also doses his eyes, feels his soul expanding in his breast, and says to himself :"," V té chvíli posluchač zavře oči též, pocítí, jak se mu duše šíří v hrudi, a řekne si :"
"hears","hear","slyší","slyšet","impf"," And yet he hears only two notes, which in themselves could not possibly contain anything of the composer 's ideas, any creativity, in other words any art or beauty."," A přitom to, co slyší, nejsou než dva tóny, které samy o sobě nemohou obsahovat žádnou skladatelovu myšlenku, žádnou tvořivost, tedy žádné umění ani krásu."
"contain","contain","obsahovat","obsahovat","impf"," And yet he hears only two notes, which in themselves could not possibly contain anything of the composer 's ideas, any creativity, in other words any art or beauty."," A přitom to, co slyší, nejsou než dva tóny, které samy o sobě nemohou obsahovat žádnou skladatelovu myšlenku, žádnou tvořivost, tedy žádné umění ani krásu."
"finds","find","nenachází","nacházet","impf"," Agnes finds nothing provocative in the situation, but she cannot silence the comical sentence that keeps circling through her mind :"," Agnes nenachází na situaci nic vzrušujícího, ale nemůže umlčet směšnou větu, která ji krouží pořád dokola hlavou :"
