"helped","help","pomohl","pomoci","pf"," It was cool and dark there under the thickening walnut leaves, out of the sun, and Mr Charlton helped her by bringing cutlery from the house on papier-mâché trays brightly decorated with hunting scenes, race-meetings, or pointers carrying birds."," Pod hustým listovím ořechu byl chladivý a temný stín, a aby pan Charlton Mariettě trochu pomohl, vynášel z domu příbory na papírových táccích zdobených obrázky z lovu, z dostihů nebo šipkami s ptáčky."
"plaited","plait","spleteny","splést","pf"," At half past twelve Pop startled everybody by driving into the yard in a Rolls-Royce, a pre-war landaulette in black, with straw-coloured doors that actually looked as if they had been made of plaited basket-work."," V půl dvanácté vylekal všechny taťka Larkin, neboť vjel do dvora v černém předválečném rolls - roycu se sklápěcí střechou a s dveřmi barvy slámy, které spíš budily zdání, že jsou spleteny z proutí."
"led","lead","vedly","vést","impf"," One of the doors led back into the house, in case people wanted to pop upstairs, and the other into the garden, so that those who felt inclined could dodge out and take the air."," Jedny dveře vedly dovnitř do domu, kdyby někdo náhodou musel nahoru na záchod, druhé vedly na zahradu, aby hosté mohli podle libosti vyjít ven a nadýchat se vzduchu."
"take","take","vedly","vést","impf"," One of the doors led back into the house, in case people wanted to pop upstairs, and the other into the garden, so that those who felt inclined could dodge out and take the air."," Jedny dveře vedly dovnitř do domu, kdyby někdo náhodou musel nahoru na záchod, druhé vedly na zahradu, aby hosté mohli podle libosti vyjít ven a nadýchat se vzduchu."
"led","lead","vedly","vést","impf"," One of the doors led back into the house, in case people wanted to pop upstairs, and the other into the garden, so that those who felt inclined could dodge out and take the air."," Jedny dveře vedly dovnitř do domu, kdyby někdo náhodou musel nahoru na záchod, druhé vedly na zahradu, aby hosté mohli podle libosti vyjít ven a nadýchat se vzduchu."
"take","take","vedly","vést","impf"," One of the doors led back into the house, in case people wanted to pop upstairs, and the other into the garden, so that those who felt inclined could dodge out and take the air."," Jedny dveře vedly dovnitř do domu, kdyby někdo náhodou musel nahoru na záchod, druhé vedly na zahradu, aby hosté mohli podle libosti vyjít ven a nadýchat se vzduchu."
"seen","see","viděl","vidět","impf"," Through the thickest fog of smoke Pop had ever seen outside a smoking concert he and Ma, helped by Mariette, Mr Charlton, and Montgomery, served food, poured out champagne, and handed glasses round."," Mamina s Mariettou, panem Charltonem a Montgomerym se prodírali clonou kouře, snad nejhustší, jakou kdy taťka Larkin viděl, nepočítal - li koncerty, na nichž se smí kouřit, servírovali jídlo, nalévali šampaňské a roznášeli skleničky."
"understand","understand","Nechápu","chápat","impf"," ‘ I don ’ t understand one for his nob. ’"," "" Nechápu, co je to jeden za kluka. """
"needed","need","muselo","muset","impf"," You needed a hundred tons of coal to heat it every winter and eighteen gardeners to keep the place tidy and productive in summer."," Bylo zapotřebí sta tun uhlí, aby se sídlo v zimě vytopilo, a osmnáct zahradníků by se muselo starat o zahradu, měla - li být upravená a měly - li stromy nést ovoce."
"keep","keep","starat","starat","impf"," You needed a hundred tons of coal to heat it every winter and eighteen gardeners to keep the place tidy and productive in summer."," Bylo zapotřebí sta tun uhlí, aby se sídlo v zimě vytopilo, a osmnáct zahradníků by se muselo starat o zahradu, měla - li být upravená a měly - li stromy nést ovoce."
"keep","keep","měla","mít","impf"," You needed a hundred tons of coal to heat it every winter and eighteen gardeners to keep the place tidy and productive in summer."," Bylo zapotřebí sta tun uhlí, aby se sídlo v zimě vytopilo, a osmnáct zahradníků by se muselo starat o zahradu, měla - li být upravená a měly - li stromy nést ovoce."
