"hides","hide","skryje","skrýt","pf"," Even the tiger hides when little Tabaqui goes mad, for madness is the most disgraceful thing that can overtake a wild creature."," I tygr uteče a skryje se, když malý Tabaki sešílí, neboť šílenost jest nejhanebnější věci, které může divoký tvor propadnouti."
"call","call","říkají","říkat","impf"," We call it hydrophobia, but they call it dewanee - the madness - and run."," Lidé tomu říkají vzteklina, ale v džungli tomu říkají dewanee - šílenost - a prchají."
"call","call","říkají","říkat","impf"," We call it hydrophobia, but they call it dewanee - the madness - and run."," Lidé tomu říkají vzteklina, ale v džungli tomu říkají dewanee - šílenost - a prchají."
"call","call","říkají","říkat","impf"," We call it hydrophobia, but they call it dewanee - the madness - and run."," Lidé tomu říkají vzteklina, ale v džungli tomu říkají dewanee - šílenost - a prchají."
"call","call","říkají","říkat","impf"," We call it hydrophobia, but they call it dewanee - the madness - and run."," Lidé tomu říkají vzteklina, ale v džungli tomu říkají dewanee - šílenost - a prchají."
"run","run","prchají","prchat","impf"," We call it hydrophobia, but they call it dewanee - the madness - and run."," Lidé tomu říkají vzteklina, ale v džungli tomu říkají dewanee - šílenost - a prchají."
"said","say","řekl","říci","pf"," "" Enter, then, and look, "" said Father Wolf, stiffly;"," "" Tedy pojď a podívej se, "" řekl Otec Vlk upjatě;"
"said","say","řekl","říci","pf"," "" For a wolf, no, "" said Tabaqui;"," "" Pro Vlka ne, věřím, "" řekl Tabaki;"
"ran","run","běhali","běhat","impf"," Akela and Gray Brother ran to and fro nipping the buffaloes ' legs, and though the herd wheeled once to charge up the ravine again, Mowgli managed to turn Rama, and the others followed him to the wallows."," Akela a Šedý Bratřík běhali sem a tam, chňapajíce bůvolům po nohách, a ačkoliv se jednu chvíli stádo stočilo, chtějíc znovu útočiti nahoru skrze rokli, podařilo se Mauglimu obrátiti Ramu a ostatní následovali za ním do bahnisk, kde se denně provalovali."
"charge","charge","útočiti","útočit","impf"," Akela and Gray Brother ran to and fro nipping the buffaloes ' legs, and though the herd wheeled once to charge up the ravine again, Mowgli managed to turn Rama, and the others followed him to the wallows."," Akela a Šedý Bratřík běhali sem a tam, chňapajíce bůvolům po nohách, a ačkoliv se jednu chvíli stádo stočilo, chtějíc znovu útočiti nahoru skrze rokli, podařilo se Mauglimu obrátiti Ramu a ostatní následovali za ním do bahnisk, kde se denně provalovali."
"managed","manage","podařilo","podařit","pf"," Akela and Gray Brother ran to and fro nipping the buffaloes ' legs, and though the herd wheeled once to charge up the ravine again, Mowgli managed to turn Rama, and the others followed him to the wallows."," Akela a Šedý Bratřík běhali sem a tam, chňapajíce bůvolům po nohách, a ačkoliv se jednu chvíli stádo stočilo, chtějíc znovu útočiti nahoru skrze rokli, podařilo se Mauglimu obrátiti Ramu a ostatní následovali za ním do bahnisk, kde se denně provalovali."
"turn","turn","obrátiti","obrátit","pf"," Akela and Gray Brother ran to and fro nipping the buffaloes ' legs, and though the herd wheeled once to charge up the ravine again, Mowgli managed to turn Rama, and the others followed him to the wallows."," Akela a Šedý Bratřík běhali sem a tam, chňapajíce bůvolům po nohách, a ačkoliv se jednu chvíli stádo stočilo, chtějíc znovu útočiti nahoru skrze rokli, podařilo se Mauglimu obrátiti Ramu a ostatní následovali za ním do bahnisk, kde se denně provalovali."
"followed","follow","následovali","následovat","impf"," Akela and Gray Brother ran to and fro nipping the buffaloes ' legs, and though the herd wheeled once to charge up the ravine again, Mowgli managed to turn Rama, and the others followed him to the wallows."," Akela a Šedý Bratřík běhali sem a tam, chňapajíce bůvolům po nohách, a ačkoliv se jednu chvíli stádo stočilo, chtějíc znovu útočiti nahoru skrze rokli, podařilo se Mauglimu obrátiti Ramu a ostatní následovali za ním do bahnisk, kde se denně provalovali."
"said","say","řekl","říci","pf"," "" Brothers, that was a dog 's death, "" said Mowgli, feeling for the knife he always carried in a sheath round his neck now that he lived with men."," "" Bratři, to byla psí smrt! "" řekl Maugli, sáhaje po noži, který teď, co žil mezi lidmi, nosil neustále v pochvě okolo krku."
"carried","carry","nosil","nosit","impf"," "" Brothers, that was a dog 's death, "" said Mowgli, feeling for the knife he always carried in a sheath round his neck now that he lived with men."," "" Bratři, to byla psí smrt! "" řekl Maugli, sáhaje po noži, který teď, co žil mezi lidmi, nosil neustále v pochvě okolo krku."
"told","tell","řekl","říci","pf"," "" Little Brother, how often have I told thee that Shere Khan is thy enemy? """," "" Bratříčku, kolikrát jsem ti řekl, že je Šir Chan tvým nepřítelem? """
"said","say","odpověděl","odpovědět","pf"," "" As many times as there are nuts on that palm, "" said Mowgli, who, naturally, could not count."," "" Tolikrát, kolik je ořechů na této palmě, "" odpověděl Maugli, jenž ovšem neuměl čítati."
"running","run","běže","běžet","impf"," Mowgli was far and far through the forest, running hard, and his heart was hot in him."," Maugli byl daleko, daleko přes lesy, běže vší silou, neboť mu bylo horko okolo srdce."
"looked","look","pohlédl","pohlédnout","pf"," and as he looked up at the stars he felt happy."," a když pohlédl vzhůru ke hvězdám, cítil se šťastným."
"felt","feel","cítil","cítit","impf"," and as he looked up at the stars he felt happy."," a když pohlédl vzhůru ke hvězdám, cítil se šťastným."
"go","go","pojďme","jít","impf"," Let us get Shere Khan 's skin and go away."," Vezměme si Šir Chanovu kůži a pojďme."
"wish","wish","nepřáli","přát","impf"," It was a long, long circle, for they did not wish to get too near the ravine and give Shere Khan warning."," Byl to dlouhý, dlouhý kruh, neboť si nepřáli dostati se příliš blízko k rokli a dáti tak Šir Chanovi výstrahu."
"get","get","dostati","dostat","pf"," It was a long, long circle, for they did not wish to get too near the ravine and give Shere Khan warning."," Byl to dlouhý, dlouhý kruh, neboť si nepřáli dostati se příliš blízko k rokli a dáti tak Šir Chanovi výstrahu."
"give","give","dáti","dát","pf"," It was a long, long circle, for they did not wish to get too near the ravine and give Shere Khan warning."," Byl to dlouhý, dlouhý kruh, neboť si nepřáli dostati se příliš blízko k rokli a dáti tak Šir Chanovi výstrahu."
"rounded","round","zahnul","zahnout","pf"," At last Mowgli rounded up the bewildered herd at the head of the ravine on a grassy patch that sloped steeply down to the ravine itself."," Konečně zahnul Maugli poplašené stádo k ústí rokle na travnatý palouk, jenž se schyloval příkře dolů až do samé strže."
"left","leave","opustil","opustit","pf"," The herd splashed through the pool he had just left, bellowing till the narrow cut rang."," Stádo sebou šplýchlo skrze louži, kterou právě opustil, bučíc, až se to těsnou roklí rozléhalo."
"felt","feel","cítil","cítit","impf"," when he felt dirty or hot he swam in the forest pools;"," cítil - li se špinavým anebo bylo - li mu horko, plaval v lesních tůních;"
"swam","swim","plaval","plavat","impf"," when he felt dirty or hot he swam in the forest pools;"," cítil - li se špinavým anebo bylo - li mu horko, plaval v lesních tůních;"
"wanted","want","chtělo","chtít","impf"," and when he wanted honey ( Baloo told him that honey and nuts were just as pleasant to eat as raw meat ) he climbed up for it, and that Bagheera showed him how to do."," a chtělo - li se mu medu ( Balú řekl mu, že med a ořechy jsou právě tak chutny jako syrové maso ), vyšplhal se proň, jak jej tomu naučil Bagýra."
"told","tell","řekl","říci","pf"," and when he wanted honey ( Baloo told him that honey and nuts were just as pleasant to eat as raw meat ) he climbed up for it, and that Bagheera showed him how to do."," a chtělo - li se mu medu ( Balú řekl mu, že med a ořechy jsou právě tak chutny jako syrové maso ), vyšplhal se proň, jak jej tomu naučil Bagýra."
"give","give","nedám","dát","pf"," Mowgli, I will not give thee one anna of the reward, but only a very big beating."," Maugli, nedám ti ani jediné anna z odměny, ale jen důkladný výprask."
"said","say","řekl","říci","pf"," "" By the Bull that bought me, "" said Mowgli, who was trying to get at the shoulder, "" must I stay babbling to an old ape all noon?"," "" U vola, jenž mne vykoupil, "" řekl Maugli, snaže se tygru dostati za lopatku, "" což tu musím státi a žvaniti celý den s touhle starou opicí?"
"trying","try","snaže","snažit","impf"," "" By the Bull that bought me, "" said Mowgli, who was trying to get at the shoulder, "" must I stay babbling to an old ape all noon?"," "" U vola, jenž mne vykoupil, "" řekl Maugli, snaže se tygru dostati za lopatku, "" což tu musím státi a žvaniti celý den s touhle starou opicí?"
"get","get","dostati","dostat","pf"," "" By the Bull that bought me, "" said Mowgli, who was trying to get at the shoulder, "" must I stay babbling to an old ape all noon?"," "" U vola, jenž mne vykoupil, "" řekl Maugli, snaže se tygru dostati za lopatku, "" což tu musím státi a žvaniti celý den s touhle starou opicí?"
"hung","hang","visely","viset","impf"," You could still trace the stone causeways that led up to the ruined gates where the last splinters of wood hung to the worn, rusted hinges."," Bylo dosud zříti umělé cesty, vedoucí nahoru ke zbořeným branám, kde dosud visely na sežraných, rezovatých stěžejích poslední zbytky dřeva."
