"call","call","nazvat","nazvat","pf"," We might call this confused, hazy state melancholy, or perhaps we should call it by its Turkish name, huzun, which denotes a melancholy that is communal rather than private."," Tuto zvláštní duševní dispozici bychom mohli nazvat jakousi zmatenou, nepochopitelnou národní melancholií, nebo bychom ji snad raději měli nazvat jejím tureckým jménem, hüzün, což označuje melancholii, která je spíše obecná než individuální."
"call","call","nazvat","nazvat","pf"," We might call this confused, hazy state melancholy, or perhaps we should call it by its Turkish name, huzun, which denotes a melancholy that is communal rather than private."," Tuto zvláštní duševní dispozici bychom mohli nazvat jakousi zmatenou, nepochopitelnou národní melancholií, nebo bychom ji snad raději měli nazvat jejím tureckým jménem, hüzün, což označuje melancholii, která je spíše obecná než individuální."
"call","call","nazvat","nazvat","pf"," We might call this confused, hazy state melancholy, or perhaps we should call it by its Turkish name, huzun, which denotes a melancholy that is communal rather than private."," Tuto zvláštní duševní dispozici bychom mohli nazvat jakousi zmatenou, nepochopitelnou národní melancholií, nebo bychom ji snad raději měli nazvat jejím tureckým jménem, hüzün, což označuje melancholii, která je spíše obecná než individuální."
"call","call","nazvat","nazvat","pf"," We might call this confused, hazy state melancholy, or perhaps we should call it by its Turkish name, huzun, which denotes a melancholy that is communal rather than private."," Tuto zvláštní duševní dispozici bychom mohli nazvat jakousi zmatenou, nepochopitelnou národní melancholií, nebo bychom ji snad raději měli nazvat jejím tureckým jménem, hüzün, což označuje melancholii, která je spíše obecná než individuální."
"denotes","denote","označuje","označovat","impf"," We might call this confused, hazy state melancholy, or perhaps we should call it by its Turkish name, huzun, which denotes a melancholy that is communal rather than private."," Tuto zvláštní duševní dispozici bychom mohli nazvat jakousi zmatenou, nepochopitelnou národní melancholií, nebo bychom ji snad raději měli nazvat jejím tureckým jménem, hüzün, což označuje melancholii, která je spíše obecná než individuální."
"jump","jump","skáčou","skákat","impf"," Even on the hottest days, when poor children jump from the shore road into the sea, the sun here is not in total command of the landscape."," Dokonce ani během nejparnějších dnů, kdy děti chudých skáčou do moře rovnou ze silnice, aby se ochladily, nemá zde slunce nad scenérií plnou vládu."
"dragging","drag","táhnou","táhnout","impf"," On summer evenings, when the reddening sky merges with the dark mysteries of the Bosphorus, the water foams, dragging madly after the rowboats cutting through it."," Za letních večerů, kdy rudnoucí obloha pomalu splývá s temnými záhadami Bosporu, se po vodě za loděmi protínajícími její hladinu táhnou dlouhé pruhy divoce zpěněných vln."
"realized","realize","uvědomil","uvědomit","pf"," It was only after he realized that his collection might have no bounds that he hit on the idea of an encyclopedia, and from then on he remained aware of the "" thingness "" of his collection."," Teprve potom, co si uvědomil, že jeho sbírka podle všeho nemá žádné hranice a že jí tudíž hrozí rozpad, možná pojal myšlenku uspořádat ji do podoby encyklopedie, a tehdy si zřejmě také uvědomil její "" věcnou podstatu ""."
"realized","realize","uvědomil","uvědomit","pf"," It was only after he realized that his collection might have no bounds that he hit on the idea of an encyclopedia, and from then on he remained aware of the "" thingness "" of his collection."," Teprve potom, co si uvědomil, že jeho sbírka podle všeho nemá žádné hranice a že jí tudíž hrozí rozpad, možná pojal myšlenku uspořádat ji do podoby encyklopedie, a tehdy si zřejmě také uvědomil její "" věcnou podstatu ""."
"see","see","Vidíme","vidět","impf"," Here we see all the children posing at their betrothals, their weddings, and the other great moments of their lives."," Vidíme na nich všechny děti, které se kdy v naší rodině narodily, jak pózují u příležitosti svých zásnub, sňatků a jiných významných životních událostí."
"loved","love","miloval","milovat","impf"," This was why Pierre Loti loved the place, finally buying a house and moving here-because it was unspoiled, a perfect, beautiful image of the East-and for the same reasons I found it irksome."," Proto tohle místo tak miloval Pierre Loti, nakonec si tam koupil dům a odstěhoval se tam natrvalo - protože představovalo krásný, nezkažený a dokonalý obraz Východu - mě ovšem ze stejného důvodu nepříjemně znepokojovalo."
"buying","buy","koupil","koupit","pf"," This was why Pierre Loti loved the place, finally buying a house and moving here-because it was unspoiled, a perfect, beautiful image of the East-and for the same reasons I found it irksome."," Proto tohle místo tak miloval Pierre Loti, nakonec si tam koupil dům a odstěhoval se tam natrvalo - protože představovalo krásný, nezkažený a dokonalý obraz Východu - mě ovšem ze stejného důvodu nepříjemně znepokojovalo."
"raging","rage","zuřily","zuřit","impf"," While the war was raging in Anatolia with the Greek army, Yahya Kemal, who was not very fond of war, politics, or armies, stayed away from Ankara."," Zatímco v Anatolii zuřily boje s řeckou armádou, Yahya Kemal, který války, politiku a armády neměl příliš v oblibě, se Ankaře zdaleka vyhýbal."
"chose","choose","Rozhodl","rozhodnout","pf"," He chose to remain "" offstage "" in Istanbul, where he devoted himself to poetry about past Turkish victories and also to creating an image of "" Turkish Istanbul. """," Rozhodl se zůstat "" za scénou "" v Istanbulu, kde se cele oddal psaní poezie o dávných tureckých vítězstvích a také vytváření obrazu "" tureckého Istanbulu ""."
"remain","remain","zůstat","zůstat","pf"," He chose to remain "" offstage "" in Istanbul, where he devoted himself to poetry about past Turkish victories and also to creating an image of "" Turkish Istanbul. """," Rozhodl se zůstat "" za scénou "" v Istanbulu, kde se cele oddal psaní poezie o dávných tureckých vítězstvích a také vytváření obrazu "" tureckého Istanbulu ""."
"began","begin","začala","začít","pf"," When the ferry moved away from the shore and the windows began to tremble again, as we moved toward the cemeteries of the opposite shore, the black smoke from the ship 's funnel would veil the view in a melancholy that made it look even more like a picture."," Když trajekt odrazil od břehu a okna se zase začala třást, jak jsme se blížili ke hřbitovům na protějším břehu, černý kouř z lodního komína zahalil celý výjev do závoje melancholie, který způsobil, že se začal ještě více podobat obrazu."
"veil","veil","zahalil","zahalit","pf"," When the ferry moved away from the shore and the windows began to tremble again, as we moved toward the cemeteries of the opposite shore, the black smoke from the ship 's funnel would veil the view in a melancholy that made it look even more like a picture."," Když trajekt odrazil od břehu a okna se zase začala třást, jak jsme se blížili ke hřbitovům na protějším břehu, černý kouř z lodního komína zahalil celý výjev do závoje melancholie, který způsobil, že se začal ještě více podobat obrazu."
"made","make","způsobil","způsobit","pf"," When the ferry moved away from the shore and the windows began to tremble again, as we moved toward the cemeteries of the opposite shore, the black smoke from the ship 's funnel would veil the view in a melancholy that made it look even more like a picture."," Když trajekt odrazil od břehu a okna se zase začala třást, jak jsme se blížili ke hřbitovům na protějším břehu, černý kouř z lodního komína zahalil celý výjev do závoje melancholie, který způsobil, že se začal ještě více podobat obrazu."
"began","begin","začal","začít","pf"," When the ferry moved away from the shore and the windows began to tremble again, as we moved toward the cemeteries of the opposite shore, the black smoke from the ship 's funnel would veil the view in a melancholy that made it look even more like a picture."," Když trajekt odrazil od břehu a okna se zase začala třást, jak jsme se blížili ke hřbitovům na protějším břehu, černý kouř z lodního komína zahalil celý výjev do závoje melancholie, který způsobil, že se začal ještě více podobat obrazu."
"seemed","seem","zdála","zdát","impf"," At times the sky seemed pitch black, but then, just like a corner in a film that suddenly comes aflame, a cold snow light would appear."," Obloha se chvílemi zdála černá jako uhel, ale pak, jako v rohu filmu, který najednou vyšlehne plamenem, se místy objevil opar studeného jasného světla."
"appear","appear","zdála","zdát","impf"," At times the sky seemed pitch black, but then, just like a corner in a film that suddenly comes aflame, a cold snow light would appear."," Obloha se chvílemi zdála černá jako uhel, ale pak, jako v rohu filmu, který najednou vyšlehne plamenem, se místy objevil opar studeného jasného světla."
"appear","appear","objevil","objevit","pf"," At times the sky seemed pitch black, but then, just like a corner in a film that suddenly comes aflame, a cold snow light would appear."," Obloha se chvílemi zdála černá jako uhel, ale pak, jako v rohu filmu, který najednou vyšlehne plamenem, se místy objevil opar studeného jasného světla."
"thought","think","považoval","považovat","impf"," According to her, the Prophet Muhammad had thought fasting was important not just to strengthen one 's will but also to improve one 's health."," V jejím podání prorok Mohamed považoval půst za důležitý prostředek nejenom k utužení vůle, ale i ke zkvalitnění zdraví."
"Look","look","podívej","podívat","pf"," "" Look how beautifully you caught the way this fisherman is standing."," "" No jen se podívej, jak krásně jsi vystihl toho rybáře."
"belongs","belong","náleží","náležet","impf"," From these predecessors I learned that the right to heap immoderate lyrical praise on Istanbul 's beauties belongs only to those who no longer live there, and not without some guilt : for the writer who talks of the city 's ruins and melancholy is never unaware of the ghostly light that shines down on his life."," Od těchto svých předchůdců jsem se poučil, že právo vršit neúměrnou lyrickou chválu na krásy Istanbulu náleží výhradně těm, kdo už v něm nežijí, a to ještě ne docela bez špetky špatného svědomí : protože spisovatel, který mluví o troskách města a o jeho melancholii, si je vždy bolestně vědom paprsku přízračného světla, dopadajícího na jeho vlastní život."
"talks","talk","mluví","mluvit","impf"," From these predecessors I learned that the right to heap immoderate lyrical praise on Istanbul 's beauties belongs only to those who no longer live there, and not without some guilt : for the writer who talks of the city 's ruins and melancholy is never unaware of the ghostly light that shines down on his life."," Od těchto svých předchůdců jsem se poučil, že právo vršit neúměrnou lyrickou chválu na krásy Istanbulu náleží výhradně těm, kdo už v něm nežijí, a to ještě ne docela bez špetky špatného svědomí : protože spisovatel, který mluví o troskách města a o jeho melancholii, si je vždy bolestně vědom paprsku přízračného světla, dopadajícího na jeho vlastní život."
"reminded","remind","připomenout","připomenout","pf"," To be caught up in the beauties of the city and the Bosphorus is to be reminded of the difference between one 's own wretched life and the happy triumphs of the past."," Být pohlcen krásou Istanbulu a Bosporu znamená připomenout si rozdíl mezi bídou vlastní existence a radostnými triumfy minulosti."
"saw","see","považoval","považovat","impf"," Montaigne saw tristesse as the enemy of self-reliant rationalism and individualism."," Montaigne považoval tristesse za nepřítele nezávislého racionalismu a individualismu."
