"cancel","cancelled","pf"," Grillfest cancelled?"
"prepare","prepare","pf"," In order to secure the full involvement of all actors concerned, to prepare the public and achieve the greatest impact, certain activities must be set up in 2006, in preparation to the 2007 European Year."
"govern","govern","impf"," - a proposed Decision based on Title VI EU Treaty ( police and judicial cooperation in criminal matters ) which will govern the use of SIS for third pillar purposes, further referred to as "" the proposed Decision "";"
"underline","underlined","pf"," As already underlined in the EDPS opinion on the Visa Information System [ 5 ], the inherently sensitive nature of biometric data requires specific safeguards which have not been introduced in the SIS II proposals."
"bring","brought","impf"," If there is no convincing justification, they should be brought back to their current duration, particularly in the case of alerts for the purpose of discreet surveillance or specific checks."
"analyse","analysed","impf"," To this end, high quality information must be collected, processed and analysed."
"kiss","kiss","impf"," Did youjust kiss me?"
"urge","urges","pf"," Therefore, the EDPS urges the Commission to either withdraw this provision, or redraft it in a way, based on existing legislation, that allows the individuals to know which measures exactly the authorities can take regarding him/ her."
"offer","offers","impf"," It offers the possibility to reduce the overall cost in a consistent manner and to avoid natural redundancies of heterogeneous elements."
"suffer","suffered","impf"," - medical, psychological and other assistance, including specialised assistance to women and girls who have fallen victim to harassment in any form or to criminal acts ( rape or violence ) or have suffered because of poor conditions as refugees,"
"trip","trips","impf"," I was minding my own business when Tommy trips me."
"fix","fixes","pf"," Commission Decision C(2001 ) 717, which fixes the allocations for the indicative programmes of the ACP countries under the ACP-EC Partnership Agreement, stipulates that the unallocated resources from previous EDFs up to a maximum of EUR 1, 2 billion are to be used for implementation in accordance with the rules and procedures of the relevant EDFs pending the entry into force of the Financial Protocol to the 9th EDF."
"appreciate","appreciate","impf"," I appreciate everything you did."
"pick","pick","pf"," Come and pick me up."
"record","recorded","pf"," Loans originated by the Facility are recorded at cost ( net disbursed amounts ), which is the fair value of the cash given to originate the loan, including any transaction costs, and are subsequently measured at amortised cost, using the effective yield method, less any provision for impairment or uncollectability."
"happen","happens","pf"," If this happens, the Danish Presidency could be tasked with yet another difficult renegotiation of EU treaties."
"grow","grown","pf"," Tourism is booming, and the export sector has grown by more than ten percent."
"pass","passing","pf"," They are passing the exit."
"require","required","impf"," The Commission publishes all new euro coin designs [ 2 ] with a view to informing all parties required to handle coins in the course of their work and the public at large."
"extend","extended","impf"," Although the principle of retention remains the same ( as a general rule, an alert should be erased from the SIS II as soon as the action requested by the alert is taken ), the proposals will have as a result that the retention period for the alerts has been generally extended."
"stop","stopping","pf"," - There 's a stopping point."
"institute","institutes","pf"," Article 15 ( 3 ) of the Regulation institutes a right to review or appeal before a judicial authority with respect to the decision to issue an alert, when this decision is taken by an administrative authority."
"drive","driving","impf"," As a general comment, the tendency to use biometric data in EU wide information systems ( VIS, EURODAC, Information System on driving licences etc. ) is growing steadfastly, but is not accompanied by a careful consideration of risks involved and required safeguards."
"hurt","hurt","impf"," You do n't know how to hurt me."
"deal","deal","impf"," This structure raises the question of how to deal with specialised sets of rules in their relationship to general law."
"hang","hang","pf"," Who am I speaking to? do n't hang up."
"depict","depicts","pf"," The centre of the coin depicts the ancient Sovereign Enthronement Stone."
"prove","proves","pf"," This would be better addressed by adding an exception to the right of information in cases where the provision of information proves impossible or involves a disproportionate effort."
"affect","affect","pf"," however, as stated in the Recitals, it "" does not affect the principle that the SIS II constitutes one single information system that should operate as such."
"achieve","achieve","impf"," Community actions required to achieve the European Research Area are devised and implemented within this policy area, in particular the research and technological development framework programmes."
"admire","admire","impf"," I am going to end with a very small quote from an anthropologist, a woman I admire very much, Margaret Mead."
"turn","turn","pf"," My Ferrari will turn into a pumpkin."
"sleep","sleep","impf"," I ca n't sleep with you."
"see","seen","pf"," The fact that the SIS II is to be seen as a single information system with two different legal bases is also reflected in the — rather complex — data protection regime."
"refuse","refusing","pf"," Alerts for the purpose of refusing entry"
"indicate","indicates","impf"," ( a ) In Tables 3.3.1 to 3.3.8, the figure "" 0, 0 "" indicates that the corresponding amount is between EUR - 4999 and EUR 4999."
"connect","connected","pf"," The SIS II consists of a central database called the "" Central Schengen Information System "" ( CS-SIS ) for which the Commission will ensure the operational management connected to national access points defined by each Member State ( NI-SIS )."
"hand","handing","pf"," Yeah, that 's what I 'm counting on with this story I 'm handing in."
"mind","mind","impf"," Do n't mind how people look at you."
"contain","contain","impf"," The full text of the decision is available only in English and will be made public after it is cleared of any business secrets it may contain."
"set","setting","pf"," Article 5 of the proposal states that data may be processed by the competent authorities only if provided for by a law setting out that the processing is necessary for the fulfilment of the legitimate task of the authority concerned and for the purpose of the prevention, investigation, detection or prosecution of criminal offences."
"address","addresses","pf"," It then addresses the definition of the purpose of the SIS II and the elements significantly different from the current system."
"learn","learn","pf"," You can only learn this from your own successes and failures."
"involve","involves","impf"," This would be better addressed by adding an exception to the right of information in cases where the provision of information proves impossible or involves a disproportionate effort."
"integrate","integrated","pf"," The SIS, as part of the Schengen Convention, was later on integrated into the EU framework by the Amsterdam Treaty."
"fly","flying","impf"," Sheriff Karl is flying."
"answer","answering","pf"," As to the deadlines for answering an access request, the imposition of deadlines in the proposals is welcome."
"meet","met","impf"," Only if this condition is met, does the European Union fully comply with its obligation under Article 6 ( 2 ) TEU to respect the fundamental rights as guaranteed by the ECHR."
"throw","Throw","pf"," Throw them out, Eddy!"
"thank","Thank","impf"," Thank you."
"emerge","emerging","pf"," As the SIS II will be built on complex systems, amongst which some rely on emerging technologies, the EDPS insists upon reinforcing the responsibility of the Commission in maintaining the systems up-to-date by implementing the Best Available Technologies related to security and data protection."
"represent","represent","impf"," The EDPS welcomes several positive aspects of these proposals, which on some points represent an improvement compared to the present situation."
"discuss","discussed","impf"," This subject is now discussed in various parts of the proposal and deserves some improvement."
"register","registered","pf"," The total amount registered by the authorising officer under this heading is shown in Tables 15 and 16."
"die","died","pf"," Today we are commemorating the sixth anniversary of the terrorist attacks on London 's public transport system, in which 52 people died and approximately 800 were injured."
"clarify","clarify","pf"," In order to clarify this context and to remind what the main points of reference for our examination are, it is useful to list the following :"
"resolve","resolve","pf"," as a result, every opportunity to resolve the crisis has been missed."
"beg","beg","impf"," I beg your pardon?"
"precede","preceding","impf"," A commitment is considered "" dormant "" or "" slow "" if, in the course of the 24 months preceding the end of the financial year 2005 :"
"scare","scared","impf"," No ... I 'm scared."
"promise","promised","pf"," I have promised Parliament that the Commission will bring forward a formal legislative proposal on a financial tax."
"do","does","pf"," The lack of an express provision conferring on the Community Courts unlimited jurisdiction does not, ipso facto, mean that they do not have any such jurisdiction."
